,F,GM,KMX,TSLA
Date,,,,
4/12/2019,8.865276337,38.02182388,74.58000183,53.54000092
4/15/2019,8.752702713,37.88777924,75.02999878,53.27600098
4/16/2019,8.780845642,37.97395325,75.94000244,54.67200089
4/17/2019,8.912183762,38.28992462,77.41999817,54.24599838
4/18/2019,8.959090233,38.5867424,77,54.65200043
4/22/2019,8.912183762,37.820755,75.69999695,52.54999924
4/23/2019,9.055159569,38.13673019,77.33999634,52.77999878
4/24/2019,9.121880531,38.03140259,77.29000092,51.73199844
4/25/2019,8.959841728,37.44733429,76.33000183,49.52600098
4/26/2019,9.922548294,37.99310684,77.97000122,47.02799988
4/29/2019,9.836762428,38.30906677,77.31999969,48.29399872
4/30/2019,9.96067524,37.29413986,77.86000061,47.73799896
5/1/2019,9.817699432,37.10263443,78.34999847,46.80199814
5/2/2019,9.855827332,36.62389374,78.23999786,48.81999969
5/3/2019,9.922548294,37.15050888,78.62000275,51.00600052
5/6/2019,9.884421349,36.4706955,78.30999756,51.06800079
5/7/2019,9.893953323,36.89199066,77.68000031,49.41199875
5/8/2019,9.855827332,36.58559418,77.70999908,48.9679985
5/9/2019,9.722381592,35.98237991,78.52999878,48.39599991
5/10/2019,9.893953323,36.27920151,79.06999969,47.90399933
5/13/2019,9.608001709,35.00574112,76.76000214,45.40200043
5/14/2019,9.760509491,35.46533585,77.18000031,46.4620018
5/15/2019,9.874889374,35.78130341,75.90000153,46.38999939
5/16/2019,9.913016319,35.79088211,75.94000244,45.66600037
5/17/2019,9.808168411,35.42703629,76.38999939,42.20600128
5/20/2019,9.798635483,35.39831543,76.86000061,41.0719986
5/21/2019,9.760509491,35.55150986,77.98000336,41.01599884
5/22/2019,9.503151894,34.03868103,77.90000153,38.54600143
5/23/2019,9.388772011,33.63653564,76.77999878,39.09799957
5/24/2019,9.369707108,33.62696075,76.48000336,38.12599945
5/28/2019,9.322048187,33.36843491,76.23999786,37.74000168
5/29/2019,9.255326271,33.31098938,77.12999725,37.97200012
5/30/2019,9.283922195,33.33971786,78.08999634,37.64400101
5/31/2019,9.074223518,31.92263222,78.27999878,37.0320015
6/3/2019,9.16000843,32.26732635,79.41000366,35.79399872
6/4/2019,9.455492973,34.21102524,80.26999664,38.72000122
6/5/2019,9.322048187,34.31635284,80.04000092,39.31800079
6/6/2019,9.29345417,34.05505753,79.94999695,41.18999863
6/7/2019,9.302985191,34.34538269,79.88999939,40.90000153
